
COMUNICACIONES2

"Nombre del ordenador:","COMUNICACIONES2"
"Descripción de la computadora:","comunicaciones2"
"Nombre de la marca de la computadora:","LENOVO 36641N1"
"Sistema operativo:","Microsoft Windows 10 Professional N (x64) Build 19044.2364 (21H2)"
"Arranque UEFI:","No presente"
"Arranque seguro:","No capaz"
"Integridad de código protegido por hipervisor (HVCI):","Deshabilitado"
"Nombre de usuario actual:","Administrador"

Procesador(es) central

"Número de paquetes de procesador (físicos):","1"
"Número de núcleos de procesador:","4"
"Número de procesadores lógicos:","4"

Intel Core i5-3470

"Nombre del procesador:","Intel Core i5-3470"
"Frecuencia del procesador original:","3200.0 MHz"
"Original Processor Frequency [MHz]:","3200"
"CPU ID:","000306A9"
"Nombre de la marca de la CPU:","Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz"
"Proveedor de CPU:","GenuineIntel"
"Pasos de CPU:","N0"
"Nombre del código de la CPU:","Ivy Bridge-DT"
"Tecnología de CPU:","22 nm"
"CPU S-Spec:","SR0T8"
"Potencia de diseño térmico de CPU (TDP):","77.0 W"
"Corriente de diseño térmico de núcleos de CPU IA (TDC):","112.0 A"
"Corriente de diseño térmico de núcleos de CPU GT (TDC):","46.0 A"
"Límites de potencia de la CPU (máx.):","Poder = Ilimitado, Hora = 8.00 sec"
"Límite de energía de la CPU 1 (larga duración) / Energía base del procesador (PBP):","Poder = 77.00 W, Hora = 1.00 sec [Bloqueado]"
"Límite de potencia de CPU 2 (duración corta) / Potencia turbo máxima (MTP):","Poder = 96.25 W, Hora = Ilimitado [Bloqueado]"
"CPU Max. Temperatura de unión (Tj, máx.):","105 °C"
"Tipo de CPU:","Unidad de producción"
"Plataforma CPU:","Socket H2 (LGA1155)"
"Revisión de actualización de microcódigo:","21"
"Número de núcleos de CPU:","4"
"Número de CPU lógicas:","4"
"CPU LFM (mínimo):","1600.0 MHz = 16 x 100.0 MHz"
"CPU HFM (base):","3200.0 MHz = 32 x 100.0 MHz"
"CPU Turbo Max:","3600.0 MHz = 36 x 100.0 MHz [Locked]"
"Límites del relación turbo:","36x (1-2c), 35x (3c), 34x (4c)"
